,Data,Avaliação
0,September 2022,2
1,January 2021,5
2,September 2022,1
3,September 2022,5
4,September 2022,1
5,September 2022,1
6,September 2022,1
7,September 2022,3
8,September 2022,1
9,September 2022,1
10,September 2022,1
11,September 2022,2
12,September 2022,3
13,August 2022,4
14,August 2022,5
15,September 2022,4
16,September 2022,1
17,September 2022,5
18,September 2022,3
19,September 2022,2
20,September 2022,1
21,September 2022,2
22,September 2022,1
23,September 2022,3
24,September 2022,2
25,August 2022,2
26,September 2022,1
27,September 2022,1
28,September 2022,1
29,September 2022,1
30,September 2022,2
31,September 2022,5
32,September 2022,1
33,September 2022,1
34,September 2022,4
35,September 2022,2
36,September 2022,1
37,September 2022,3
38,September 2022,1
39,September 2022,3
40,September 2022,1
41,September 2022,5
42,August 2022,1
43,September 2022,3
44,September 2022,5
45,September 2022,2
46,September 2022,5
47,September 2022,1
48,September 2022,3
49,September 2022,1
50,September 2022,1
51,September 2022,1
52,September 2022,3
53,September 2022,2
54,September 2022,3
55,September 2022,4
56,September 2022,1
57,August 2022,5
58,September 2022,3
59,September 2022,2
60,September 2022,1
61,September 2022,5
62,September 2022,5
63,September 2022,4
64,September 2022,1
65,September 2022,1
66,September 2022,4
67,August 2022,3
68,September 2022,5
69,September 2022,5
70,September 2022,5
71,August 2022,5
72,September 2022,2
73,September 2022,4
74,June 2022,5
75,September 2022,2
76,September 2022,2
77,September 2022,4
78,August 2022,5
79,September 2022,5
80,September 2022,5
81,June 2022,4
82,March 2022,3
83,August 2022,2
84,August 2022,1
85,September 2022,1
86,September 2022,3
87,August 2022,3
88,August 2022,2
89,August 2022,2
90,August 2022,5
91,April 2022,4
92,September 2022,1
93,August 2022,4
94,August 2022,1
95,July 2022,5
96,August 2022,3
97,August 2022,2
98,August 2022,4
99,August 2022,5
100,August 2022,5
101,August 2022,5
102,August 2022,1
103,August 2022,2
104,August 2022,5
105,August 2022,5
106,August 2022,5
107,August 2022,1
108,August 2022,2
109,July 2022,5
110,August 2022,3
111,August 2022,1
112,August 2022,3
113,August 2022,3
114,August 2022,5
115,July 2022,5
116,August 2022,5
117,August 2022,1
118,August 2022,2
119,April 2022,2
120,August 2022,3
121,August 2022,3
122,August 2022,1
123,August 2022,2
124,August 2022,3
125,July 2022,4
126,August 2022,2
127,August 2022,1
128,August 2022,4
129,August 2022,4
130,August 2022,4
131,August 2022,5
132,August 2022,5
133,August 2022,4
134,August 2022,2
135,August 2022,2
136,August 2022,3
137,August 2022,2
138,August 2022,1
139,August 2022,3
140,August 2022,5
141,July 2022,1
142,August 2022,5
143,August 2022,4
144,August 2022,1
145,July 2022,1
146,August 2022,1
147,August 2022,2
148,August 2022,1
149,August 2022,4
150,August 2022,1
