,Data,Avaliação
0,September 2022,4
1,September 2022,3
2,September 2022,4
3,September 2022,2
4,August 2022,4
5,July 2022,4
6,June 2022,2
7,June 2022,5
8,June 2022,4
9,May 2022,5
10,May 2022,5
11,May 2022,5
12,May 2022,2
13,April 2022,3
14,April 2022,2
15,March 2022,2
16,March 2022,1
17,March 2022,2
18,March 2022,4
19,February 2022,1
20,February 2022,1
21,December 2021,4
22,December 2021,5
23,November 2021,1
24,October 2020,5
25,August 2021,5
26,July 2021,1
27,July 2021,5
28,July 2021,3
29,June 2021,5
30,May 2021,4
31,April 2021,5
32,March 2021,1
33,October 2020,4
34,October 2020,5
35,February 2020,5
36,September 2020,5
37,September 2019,2
38,January 2020,4
39,March 2020,3
40,March 2020,3
41,March 2020,5
42,January 2020,4
43,February 2020,5
44,February 2020,3
45,February 2020,4
46,February 2020,4
47,February 2020,4
48,January 2020,5
49,December 2019,5
50,February 2020,1
51,January 2020,4
52,November 2019,4
53,December 2019,5
54,December 2019,5
55,December 2019,3
56,December 2019,5
57,December 2019,3
58,December 2019,4
59,December 2019,1
60,February 2020,1
61,January 2020,4
62,November 2019,4
63,December 2019,5
64,December 2019,5
65,December 2019,3
66,December 2019,5
67,December 2019,3
68,December 2019,4
69,December 2019,1
70,November 2019,5
71,October 2019,3
72,October 2019,4
73,October 2019,3
74,October 2019,3
75,October 2019,3
76,April 2019,3
77,October 2019,2
78,October 2019,4
79,October 2019,3
80,September 2019,3
81,September 2019,4
82,September 2019,4
83,September 2019,3
84,September 2019,4
85,September 2019,5
86,September 2019,2
87,August 2019,5
88,August 2019,2
89,July 2019,2
90,September 2019,3
91,September 2019,4
92,September 2019,4
93,September 2019,3
94,September 2019,4
95,September 2019,5
96,September 2019,2
97,August 2019,5
98,August 2019,2
99,July 2019,2
100,July 2019,4
101,July 2019,1
102,May 2019,5
103,July 2019,2
104,June 2019,3
105,July 2019,5
106,June 2019,4
107,June 2019,2
108,July 2018,4
109,June 2019,5
110,June 2019,3
111,April 2019,5
112,June 2019,5
113,July 2018,5
114,May 2019,5
115,May 2019,5
116,May 2019,1
117,April 2019,5
118,October 2018,4
119,April 2019,4
120,January 2019,4
121,May 2019,1
122,April 2019,3
123,April 2019,4
124,April 2019,2
125,April 2019,5
126,April 2019,2
127,April 2019,4
128,April 2019,4
129,March 2019,4
130,April 2019,2
131,April 2019,2
132,April 2019,4
133,March 2019,4
134,October 2018,3
135,March 2019,3
136,March 2019,5
137,October 2018,4
138,February 2019,4
139,January 2019,2
140,February 2019,4
