,Data,Avaliação
0,September 2022,1
1,July 2021,5
2,September 2022,5
3,September 2022,5
4,September 2022,5
5,September 2022,5
6,September 2022,5
7,September 2022,5
8,September 2022,5
9,July 2022,5
10,September 2022,5
11,September 2022,1
12,April 2022,1
13,September 2022,5
14,September 2022,5
15,August 2022,3
16,August 2022,5
17,August 2022,5
18,August 2022,5
19,August 2022,4
20,September 2021,1
21,August 2022,5
22,April 2022,3
23,August 2022,5
24,August 2022,2
25,August 2022,5
26,August 2022,4
27,August 2022,5
28,August 2022,1
29,August 2022,2
30,July 2022,5
31,September 2021,5
32,July 2022,5
33,July 2022,5
34,July 2022,5
35,June 2022,5
36,July 2022,5
37,July 2022,5
38,July 2022,5
39,July 2022,5
40,July 2022,1
41,July 2022,5
42,June 2022,4
43,July 2022,5
44,July 2022,3
45,July 2022,5
46,June 2022,4
47,June 2022,4
48,July 2022,4
49,July 2022,5
50,June 2022,1
51,July 2022,5
52,July 2022,3
53,July 2022,5
54,June 2022,4
55,July 2022,3
56,July 2022,4
57,June 2022,4
58,June 2022,3
59,June 2022,5
60,June 2022,2
61,May 2022,5
62,June 2022,5
63,June 2022,4
64,June 2022,5
65,June 2022,4
66,May 2022,4
67,June 2022,5
68,May 2022,5
69,May 2022,1
70,May 2022,5
71,May 2022,2
72,May 2022,5
73,May 2022,5
74,May 2022,5
75,April 2022,5
76,May 2022,3
77,May 2022,3
78,May 2022,5
79,May 2022,5
80,May 2022,5
81,May 2022,5
82,May 2022,3
83,May 2022,5
84,May 2022,4
85,April 2022,5
86,April 2022,5
87,May 2022,5
88,April 2022,5
89,April 2022,5
90,May 2022,5
91,May 2022,5
92,May 2022,3
93,May 2022,5
94,May 2022,4
95,April 2022,5
96,April 2022,5
97,May 2022,5
98,April 2022,5
99,April 2022,5
100,May 2022,5
101,May 2022,5
102,May 2022,3
103,May 2022,5
104,May 2022,4
105,April 2022,5
106,April 2022,5
107,May 2022,5
108,April 2022,5
109,April 2022,5
110,May 2022,5
111,May 2022,5
112,May 2022,3
113,May 2022,5
114,May 2022,4
115,April 2022,5
116,April 2022,5
117,May 2022,5
118,April 2022,5
119,April 2022,5
120,May 2022,5
121,May 2022,5
122,May 2022,3
123,May 2022,5
124,May 2022,4
125,April 2022,5
126,April 2022,5
127,May 2022,5
128,April 2022,5
129,April 2022,5
130,May 2022,5
131,May 2022,5
132,May 2022,3
133,May 2022,5
134,May 2022,4
135,April 2022,5
136,April 2022,5
137,May 2022,5
138,April 2022,5
139,April 2022,5
140,May 2022,5
141,May 2022,5
142,May 2022,3
143,May 2022,5
144,May 2022,4
145,April 2022,5
146,April 2022,5
147,May 2022,5
148,April 2022,5
149,April 2022,5
150,May 2022,5
151,May 2022,5
152,May 2022,3
153,May 2022,5
154,May 2022,4
155,April 2022,5
156,April 2022,5
157,May 2022,5
158,April 2022,5
159,April 2022,5
160,May 2022,5
161,May 2022,5
162,May 2022,3
163,May 2022,5
164,May 2022,4
165,April 2022,5
166,April 2022,5
167,May 2022,5
168,April 2022,5
169,April 2022,5
170,May 2022,5
171,May 2022,5
172,May 2022,3
173,May 2022,5
174,May 2022,4
175,April 2022,5
176,April 2022,5
177,May 2022,5
178,April 2022,5
179,April 2022,5
180,May 2022,5
181,May 2022,5
182,May 2022,3
183,May 2022,5
184,May 2022,4
185,April 2022,5
186,April 2022,5
187,May 2022,5
188,April 2022,5
189,April 2022,5
190,May 2022,5
191,May 2022,5
192,May 2022,3
193,May 2022,5
194,May 2022,4
195,April 2022,5
196,April 2022,5
197,May 2022,5
198,April 2022,5
199,April 2022,5
200,May 2022,5
201,May 2022,5
202,May 2022,3
203,May 2022,5
204,May 2022,4
205,April 2022,5
206,April 2022,5
207,May 2022,5
208,April 2022,5
209,April 2022,5
210,April 2022,2
211,April 2022,3
212,April 2022,5
213,April 2022,5
214,April 2022,1
215,April 2022,5
216,April 2022,1
217,April 2022,5
218,April 2022,5
219,April 2022,5
220,March 2022,5
221,April 2022,5
222,April 2022,3
223,April 2022,5
224,April 2022,5
225,March 2022,5
226,March 2022,4
227,March 2022,3
228,March 2022,5
229,March 2022,5
230,March 2022,1
231,March 2022,5
232,March 2022,5
233,March 2022,5
234,December 2021,4
235,March 2022,5
236,March 2022,5
237,February 2022,2
238,February 2022,2
239,February 2022,5
240,February 2022,5
241,February 2022,5
242,February 2022,5
243,February 2022,5
244,February 2022,1
245,February 2022,5
246,February 2022,5
247,February 2022,5
248,February 2022,4
249,February 2022,5
250,February 2022,4
251,February 2022,5
252,January 2022,5
253,January 2022,5
254,January 2022,5
255,January 2022,5
256,January 2022,5
257,January 2022,5
258,January 2022,5
259,January 2022,5
260,January 2022,5
261,January 2022,5
262,January 2022,5
263,January 2022,5
264,October 2021,5
265,January 2022,1
266,January 2022,5
267,January 2022,5
268,January 2022,1
269,January 2022,4
270,December 2021,5
271,December 2021,2
272,December 2021,1
273,January 2022,5
274,December 2021,3
275,December 2021,5
276,December 2021,5
277,December 2021,5
278,December 2021,5
279,December 2021,4
280,December 2021,4
281,December 2021,1
282,December 2021,5
283,December 2021,4
284,December 2021,5
285,December 2021,5
286,December 2021,5
287,December 2021,5
288,December 2021,5
289,December 2021,1
290,December 2021,1
291,December 2021,5
292,December 2021,5
293,December 2021,5
294,December 2021,5
295,December 2021,2
296,December 2021,5
297,December 2021,5
298,November 2021,4
299,December 2021,2
300,December 2021,5
301,December 2021,1
302,December 2021,5
303,December 2021,1
304,November 2021,5
305,November 2021,4
306,November 2021,2
307,October 2021,3
308,November 2021,1
309,November 2021,4
310,November 2021,5
311,October 2021,4
312,November 2021,4
313,November 2021,5
314,October 2021,5
315,November 2021,2
316,November 2021,2
317,October 2021,5
318,September 2021,3
319,October 2021,4
320,November 2021,5
321,October 2021,4
322,November 2021,5
323,October 2021,5
324,October 2021,1
325,October 2021,1
326,October 2021,5
327,October 2021,5
328,October 2021,5
329,October 2021,5
330,October 2021,5
331,October 2021,5
332,October 2021,2
333,October 2021,5
334,October 2021,5
335,September 2021,5
336,October 2021,5
337,October 2021,4
338,October 2021,5
339,October 2021,3
340,October 2021,5
341,October 2021,4
342,September 2021,4
343,October 2021,4
344,October 2021,5
345,October 2021,4
346,October 2021,5
347,October 2021,5
348,October 2021,5
349,October 2021,3
350,October 2021,5
351,October 2021,5
352,October 2021,2
353,October 2021,5
354,October 2021,5
355,September 2021,5
356,September 2021,5
357,September 2021,4
358,September 2021,5
359,September 2021,5
360,October 2021,5
361,September 2021,4
362,September 2021,5
363,September 2021,5
364,September 2021,5
365,September 2021,5
366,September 2021,5
367,September 2021,5
368,September 2021,5
369,August 2021,5
370,September 2021,5
371,September 2021,5
372,September 2021,5
373,September 2021,4
374,September 2021,3
375,September 2021,3
376,September 2021,5
377,September 2021,1
378,September 2021,3
379,September 2021,5
380,August 2021,5
381,August 2021,5
382,August 2021,1
383,August 2021,4
384,August 2021,5
385,August 2021,5
386,August 2021,5
387,August 2021,5
388,August 2021,4
389,August 2021,5
390,July 2021,5
391,August 2021,5
392,August 2021,5
393,August 2021,5
394,August 2021,5
395,August 2021,4
396,August 2021,5
397,August 2021,5
398,August 2021,4
399,August 2021,3
400,August 2021,5
401,July 2021,2
402,August 2021,5
403,August 2021,5
404,August 2021,4
405,August 2021,5
406,July 2021,1
407,July 2021,5
408,August 2021,2
409,August 2021,5
410,August 2021,5
411,August 2021,5
412,July 2021,5
413,July 2021,5
414,July 2021,1
415,July 2021,4
416,July 2021,5
417,July 2021,5
418,July 2021,5
419,July 2021,5
420,July 2021,5
421,July 2021,5
422,July 2021,5
423,July 2021,1
424,July 2021,5
425,July 2021,4
426,July 2021,5
427,July 2021,5
428,July 2021,3
429,July 2021,4
430,July 2021,3
431,July 2021,5
432,July 2021,4
433,July 2021,1
434,July 2021,5
435,July 2021,3
436,July 2021,5
437,July 2021,5
438,July 2021,2
439,July 2021,5
440,July 2021,5
441,July 2021,5
442,July 2021,5
443,July 2021,5
444,June 2021,5
445,June 2021,5
446,July 2021,5
447,July 2021,5
448,June 2021,5
449,June 2021,3
450,June 2021,5
451,June 2021,5
452,June 2021,4
453,June 2021,3
454,June 2021,5
455,June 2021,5
456,June 2021,4
457,June 2021,5
458,June 2021,4
459,June 2021,5
460,June 2021,4
461,June 2021,5
462,June 2021,5
463,June 2021,5
464,June 2021,5
465,June 2021,5
466,June 2021,5
467,June 2021,5
468,May 2021,5
469,June 2021,5
470,June 2021,5
471,June 2021,5
472,June 2021,4
473,June 2021,3
474,June 2021,5
475,June 2021,5
476,June 2021,5
477,June 2021,3
478,June 2021,5
479,June 2021,5
480,May 2021,5
481,May 2021,5
482,June 2021,5
483,June 2021,5
484,June 2021,5
485,May 2021,1
486,June 2021,1
487,May 2021,5
488,May 2021,5
489,May 2021,4
490,May 2021,5
491,May 2021,5
492,May 2021,5
493,May 2021,4
494,May 2021,5
495,May 2021,2
496,May 2021,5
497,May 2021,5
498,May 2021,1
499,May 2021,4
500,May 2021,3
501,May 2021,5
502,March 2021,3
503,May 2021,5
504,May 2021,5
505,May 2021,5
506,May 2021,4
507,May 2021,5
508,May 2021,5
509,May 2021,5
510,May 2021,5
511,May 2021,5
512,May 2021,5
513,May 2021,1
514,May 2021,5
515,May 2021,5
516,May 2021,5
517,May 2021,5
518,April 2021,2
519,April 2021,4
520,April 2021,1
521,May 2021,3
522,April 2021,5
523,April 2021,2
524,April 2021,5
525,March 2021,4
526,April 2021,5
527,April 2021,5
528,April 2021,5
529,April 2021,4
530,April 2021,5
531,April 2021,5
532,March 2021,1
533,April 2021,1
534,April 2021,4
535,March 2021,4
536,March 2021,4
537,April 2021,1
538,April 2021,5
539,March 2021,3
540,April 2021,2
541,April 2021,4
542,March 2021,5
543,March 2021,5
544,March 2021,5
545,March 2021,5
546,March 2021,4
547,March 2021,2
548,March 2021,5
549,March 2021,5
550,March 2021,4
551,March 2021,5
552,March 2021,1
553,March 2021,5
554,March 2021,5
555,March 2021,2
556,March 2021,5
557,March 2021,4
558,March 2021,1
559,February 2021,5
560,March 2021,5
561,March 2021,5
562,February 2021,5
563,February 2021,5
564,January 2021,5
565,January 2021,5
566,December 2020,5
567,January 2021,5
568,December 2020,5
569,November 2020,5
570,September 2020,5
571,November 2020,5
572,November 2020,4
573,November 2020,2
574,December 2019,3
575,October 2020,4
576,October 2020,1
577,October 2020,5
578,October 2020,4
579,October 2020,5
580,October 2020,2
581,October 2020,5
582,October 2020,4
583,October 2020,5
584,November 2019,4
585,September 2020,3
586,September 2020,4
587,July 2020,4
588,July 2020,2
589,August 2019,4
590,July 2020,3
591,June 2020,1
592,June 2020,1
593,February 2020,5
594,January 2020,5
595,March 2020,4
596,March 2020,3
597,February 2020,5
598,March 2020,5
599,February 2020,5
600,March 2020,4
601,March 2020,1
602,May 2019,5
603,October 2019,5
604,March 2020,5
605,February 2020,4
606,March 2020,1
607,October 2019,5
608,March 2020,4
609,March 2020,5
610,February 2020,5
611,March 2020,5
612,February 2020,4
613,February 2020,5
614,February 2020,5
615,October 2019,3
616,February 2020,4
617,February 2020,5
618,February 2020,5
619,February 2020,5
620,February 2020,3
621,February 2020,2
622,February 2020,5
623,February 2020,4
624,February 2020,4
625,February 2020,5
626,February 2020,5
627,February 2020,5
628,February 2020,5
629,February 2020,5
630,April 2021,5
631,February 2021,5
632,October 2021,4
633,February 2022,4
634,April 2022,5
635,November 2021,4
636,May 2022,5
637,October 2021,5
638,October 2021,3
639,March 2022,5
640,January 2022,5
641,October 2021,4
642,April 2022,5
643,May 2022,5
644,August 2022,2
645,August 2022,3
646,December 2021,4
647,January 2022,5
648,April 2022,5
649,February 2022,5
650,July 2022,5
651,July 2022,5
652,June 2021,3
653,September 2020,3
654,September 2022,5
655,June 2022,5
656,April 2022,1
657,January 2022,5
658,March 2021,4
659,June 2021,5
660,October 2021,5
661,June 2022,4
662,September 2020,4
