,Data,Avaliação
0,September 2022,5
1,September 2022,5
2,September 2022,3
3,August 2022,5
4,August 2022,5
5,August 2022,5
6,August 2022,4
7,July 2022,5
8,July 2022,2
9,May 2022,4
10,June 2022,3
11,June 2022,5
12,June 2022,5
13,June 2022,5
14,June 2022,4
15,May 2022,5
16,June 2022,5
17,June 2022,1
18,June 2022,5
19,June 2022,1
20,April 2022,2
21,May 2022,2
22,May 2022,2
23,March 2022,2
24,March 2022,4
25,April 2022,5
26,April 2022,2
27,April 2022,3
28,April 2022,3
29,April 2022,5
30,April 2022,3
31,April 2022,3
32,April 2022,4
33,April 2022,4
34,March 2022,4
35,March 2022,1
36,March 2022,4
37,March 2022,3
38,March 2022,2
39,February 2022,2
40,February 2022,2
41,February 2022,1
42,February 2022,1
43,February 2022,5
44,January 2022,4
45,January 2022,3
46,December 2021,3
47,December 2021,3
48,December 2021,2
49,March 2021,4
50,November 2021,4
51,November 2021,1
52,October 2021,3
53,November 2021,5
54,November 2021,4
55,November 2021,1
56,October 2021,4
57,October 2021,3
58,October 2021,4
59,October 2021,5
60,October 2021,4
61,October 2021,3
62,September 2021,3
63,October 2021,4
64,September 2021,2
65,September 2021,1
66,September 2021,2
67,July 2021,4
68,July 2021,5
69,July 2021,2
70,July 2021,1
71,June 2021,3
72,June 2021,5
73,May 2021,1
74,May 2021,5
75,May 2021,3
76,May 2021,5
77,May 2021,5
78,May 2021,2
79,May 2021,4
80,May 2021,5
81,May 2021,2
82,April 2021,4
83,April 2021,1
84,April 2021,1
85,April 2021,1
86,March 2021,2
87,March 2021,5
88,March 2021,2
89,February 2021,1
90,February 2021,5
91,January 2021,1
92,January 2021,1
93,December 2020,5
94,December 2020,1
95,November 2020,5
96,September 2020,4
97,September 2020,4
98,September 2020,1
99,September 2020,4
100,January 2020,4
101,September 2020,5
102,September 2020,1
103,August 2020,5
104,August 2020,4
105,August 2020,3
106,July 2020,5
107,July 2020,1
108,July 2020,4
109,July 2020,4
110,March 2020,1
111,June 2020,2
112,June 2020,1
113,June 2020,4
114,June 2020,1
115,June 2020,4
116,February 2020,4
117,February 2020,5
118,January 2020,2
119,February 2020,4
120,March 2020,5
121,March 2020,4
122,March 2020,1
123,March 2020,5
124,March 2020,4
125,March 2020,3
126,March 2020,5
127,February 2020,5
128,March 2020,5
129,February 2020,5
130,February 2020,4
131,February 2020,4
132,February 2020,3
133,February 2020,4
134,February 2020,5
135,February 2020,4
136,February 2020,4
137,February 2020,4
138,February 2020,5
139,February 2020,3
140,February 2020,3
141,February 2020,5
142,January 2020,1
143,January 2020,5
144,January 2020,4
145,December 2019,5
146,January 2020,3
147,January 2020,5
148,January 2020,4
149,September 2019,4
150,January 2020,2
151,January 2020,5
152,January 2020,5
153,January 2020,5
154,September 2019,4
155,January 2020,3
156,November 2019,4
157,December 2019,5
158,October 2019,5
159,December 2019,3
160,December 2019,2
161,December 2019,4
162,December 2019,2
163,December 2019,1
164,December 2019,4
165,December 2019,3
166,December 2019,2
167,December 2019,4
168,December 2019,4
169,December 2019,3
170,December 2019,4
171,December 2019,1
172,December 2019,5
173,December 2019,2
174,December 2019,5
175,December 2019,2
176,October 2019,4
177,December 2019,3
178,December 2019,5
179,January 2019,4
180,November 2019,4
181,November 2019,4
182,November 2019,5
183,November 2019,4
184,November 2019,4
185,November 2019,5
186,April 2019,4
187,November 2019,3
188,November 2019,5
189,November 2019,2
190,November 2019,4
191,November 2019,5
192,October 2019,5
193,November 2019,1
194,November 2019,2
195,November 2019,5
196,October 2019,4
197,November 2019,2
198,October 2019,4
199,October 2019,4
200,November 2019,4
201,October 2019,2
202,October 2019,5
203,November 2019,2
204,November 2019,1
205,October 2019,2
206,October 2019,4
207,May 2019,3
208,October 2019,5
209,October 2019,5
210,October 2019,4
211,October 2019,4
212,October 2019,3
213,October 2019,4
214,October 2019,4
215,May 2019,5
216,October 2019,4
217,September 2019,4
218,October 2019,5
219,September 2019,4
220,October 2019,2
221,April 2019,5
222,October 2019,5
223,October 2019,4
224,September 2019,5
225,October 2019,4
226,October 2019,4
227,September 2019,3
228,September 2019,4
229,September 2019,5
230,September 2019,1
231,September 2019,4
232,September 2019,5
233,September 2019,4
234,September 2019,5
235,September 2019,3
236,August 2019,5
237,September 2019,4
238,September 2019,4
239,July 2019,4
240,September 2019,5
241,September 2019,3
242,August 2019,4
243,September 2019,4
244,August 2019,5
245,September 2019,4
246,September 2019,5
247,August 2019,5
248,August 2019,5
249,September 2019,4
250,July 2019,4
251,August 2019,3
252,August 2019,4
253,August 2019,5
254,July 2019,4
255,August 2019,4
256,July 2019,2
257,August 2019,4
258,August 2019,3
259,August 2019,4
260,August 2019,4
261,August 2019,5
262,August 2019,1
263,August 2019,4
264,April 2019,4
265,August 2019,5
266,August 2019,4
267,August 2019,4
268,August 2019,5
269,August 2019,4
270,August 2019,3
271,August 2019,4
272,August 2019,4
273,August 2019,5
274,July 2019,4
275,July 2019,4
276,July 2019,3
277,July 2019,3
278,July 2019,4
279,July 2019,5
280,July 2019,5
281,September 2018,5
282,July 2019,5
283,January 2019,4
284,June 2019,5
285,June 2019,4
286,June 2019,5
287,June 2019,5
288,June 2019,3
289,June 2019,2
290,April 2019,4
291,June 2019,5
292,June 2019,4
293,June 2019,3
294,May 2019,4
295,June 2019,3
296,June 2019,5
297,June 2019,4
298,June 2019,4
299,June 2019,4
300,May 2019,4
301,May 2019,5
302,April 2019,4
303,May 2019,5
304,May 2019,5
305,April 2019,5
306,April 2019,4
307,April 2019,3
308,February 2019,5
309,April 2019,5
310,April 2019,5
311,April 2019,4
312,April 2019,5
313,April 2019,4
314,April 2019,4
315,April 2019,5
316,January 2019,5
317,April 2019,5
318,April 2019,4
319,April 2019,4
320,April 2019,5
321,April 2019,1
322,April 2019,5
323,April 2019,3
324,April 2019,5
325,March 2019,4
326,April 2019,1
327,May 2018,4
328,April 2019,5
329,April 2019,5
330,April 2019,4
331,April 2019,3
332,March 2019,1
333,March 2019,4
334,March 2019,3
335,September 2018,5
336,March 2019,5
337,March 2019,2
338,March 2019,4
339,February 2019,1
340,March 2019,5
341,March 2019,5
342,March 2019,3
343,February 2019,5
344,March 2019,2
345,March 2019,3
346,March 2019,5
347,February 2019,1
348,March 2019,5
349,December 2018,4
350,March 2019,4
351,October 2018,5
352,April 2018,5
353,March 2019,4
354,March 2019,5
355,March 2019,3
356,February 2019,5
357,October 2018,5
358,February 2019,3
359,January 2019,5
360,July 2018,5
361,January 2019,4
362,February 2019,5
363,February 2019,3
364,February 2019,3
365,February 2019,5
366,February 2019,1
367,April 2018,5
368,January 2019,4
369,February 2019,2
370,February 2019,4
371,February 2019,4
372,February 2019,5
373,February 2019,5
374,February 2019,5
375,February 2019,5
376,February 2019,5
377,January 2019,4
378,January 2019,4
379,January 2019,3
380,January 2019,2
381,January 2019,4
382,January 2019,4
383,January 2019,1
384,January 2019,4
385,January 2019,3
386,January 2019,4
387,September 2018,4
388,January 2019,4
389,January 2019,5
390,January 2019,5
391,December 2018,5
392,January 2019,4
393,December 2018,3
394,December 2018,4
395,April 2018,5
396,January 2019,3
397,December 2018,1
398,January 2019,4
399,January 2019,5
400,January 2019,1
401,January 2019,4
402,September 2018,4
403,December 2018,3
404,December 2018,3
405,December 2018,1
406,December 2018,4
407,December 2018,3
408,December 2018,4
409,October 2018,5
410,November 2018,5
411,November 2018,4
412,November 2018,4
413,December 2018,5
414,November 2018,5
415,December 2018,1
416,December 2018,5
417,September 2018,4
418,November 2018,4
419,November 2018,4
420,November 2018,4
421,November 2018,5
422,November 2018,4
423,November 2018,5
424,October 2018,4
425,November 2018,5
426,November 2018,3
427,November 2018,1
428,November 2018,3
429,October 2018,5
430,November 2018,5
431,November 2018,5
432,November 2018,4
433,October 2018,5
434,November 2018,5
435,November 2018,5
