,Data,Avaliação
0,October 2022,5
1,January 2022,5
2,October 2022,5
3,October 2022,5
4,September 2022,5
5,September 2022,5
6,September 2022,5
7,September 2022,3
8,September 2022,5
9,September 2022,1
10,September 2022,5
11,September 2022,5
12,September 2022,5
13,September 2022,5
14,September 2022,5
15,September 2022,2
16,September 2022,4
17,September 2022,5
18,September 2022,5
19,September 2022,5
20,September 2022,5
21,September 2022,5
22,September 2022,5
23,September 2022,5
24,September 2022,4
25,September 2022,5
26,September 2022,1
27,September 2022,5
28,September 2022,4
29,September 2022,1
30,September 2022,1
31,September 2022,5
32,September 2022,2
33,September 2022,5
34,September 2022,5
35,September 2022,5
36,September 2022,5
37,September 2022,2
38,September 2022,5
39,September 2022,5
40,September 2022,5
41,September 2022,5
42,September 2022,1
43,September 2022,1
44,September 2022,5
45,September 2022,1
46,September 2022,5
47,September 2022,1
48,September 2022,1
49,September 2022,4
50,September 2022,1
51,September 2022,5
52,September 2022,1
53,September 2022,4
54,September 2022,5
55,September 2022,2
56,September 2022,5
57,September 2022,5
58,September 2022,5
59,September 2022,5
60,September 2022,5
61,September 2022,5
62,September 2022,5
63,September 2022,5
64,September 2022,5
65,September 2022,5
66,September 2022,5
67,September 2022,5
68,September 2022,5
69,September 2022,2
70,September 2022,5
71,September 2022,5
72,August 2022,3
73,September 2022,5
74,September 2022,5
75,September 2022,5
76,September 2022,5
77,August 2022,4
78,September 2022,5
79,September 2022,5
80,August 2022,4
81,September 2022,2
82,September 2022,5
83,September 2022,5
84,September 2022,5
85,September 2022,5
86,September 2022,4
87,September 2022,5
88,August 2022,5
89,August 2022,5
90,August 2022,3
91,August 2022,5
92,August 2022,5
93,August 2022,5
94,August 2022,5
95,August 2022,5
96,August 2022,5
97,August 2022,1
98,August 2022,5
99,August 2022,5
100,August 2022,5
101,August 2022,5
102,August 2022,5
103,August 2022,5
104,August 2022,5
105,August 2022,5
106,August 2022,4
107,August 2022,5
108,August 2022,1
109,August 2022,1
110,August 2022,5
111,October 2021,1
112,August 2022,1
113,August 2022,5
114,August 2022,5
115,August 2022,5
116,August 2022,5
117,August 2022,5
118,August 2022,5
119,August 2022,5
120,August 2022,5
121,August 2022,5
122,August 2022,5
123,August 2022,5
124,August 2022,5
125,August 2022,5
126,August 2022,5
127,August 2022,5
128,July 2022,3
129,August 2022,5
130,August 2022,5
131,July 2022,1
132,August 2022,4
133,August 2022,5
134,August 2022,3
135,August 2022,5
136,August 2022,5
137,August 2022,5
138,August 2022,5
139,August 2022,5
140,August 2022,5
141,August 2022,5
142,August 2022,5
143,August 2022,5
144,August 2022,5
145,August 2022,5
146,August 2022,5
147,August 2022,5
148,August 2022,5
149,August 2022,5
150,August 2022,5
151,August 2022,5
152,August 2022,5
153,August 2022,4
154,August 2022,4
155,August 2022,5
156,August 2022,5
157,July 2022,1
158,August 2022,4
159,August 2022,3
160,August 2022,1
161,August 2022,1
162,August 2022,5
163,August 2022,2
164,August 2022,5
165,August 2022,5
166,August 2022,5
167,August 2022,5
168,August 2022,5
169,August 2022,5
170,August 2022,5
171,August 2022,5
172,August 2022,5
173,August 2022,5
174,July 2022,5
175,July 2022,2
176,August 2022,5
177,August 2022,5
178,August 2022,5
179,July 2022,3
180,August 2022,5
181,August 2022,5
182,July 2022,5
183,July 2022,1
