,Data,Avaliação
0,September 2022,2
1,September 2022,5
2,September 2022,1
3,September 2022,3
4,September 2022,5
5,September 2022,5
6,September 2022,2
7,August 2022,5
8,August 2022,5
9,August 2022,5
10,August 2022,5
11,August 2022,5
12,August 2022,3
13,August 2022,4
14,August 2022,2
15,August 2022,1
16,August 2022,4
17,August 2022,5
18,August 2022,3
19,August 2022,5
20,August 2022,5
21,August 2022,5
22,August 2022,5
23,August 2022,4
24,August 2022,5
25,August 2022,4
26,August 2022,5
27,August 2022,2
28,August 2022,5
29,August 2022,3
30,August 2022,3
31,August 2022,4
32,August 2022,4
33,August 2022,5
34,August 2022,3
35,August 2022,5
36,August 2022,5
37,August 2022,5
38,June 2022,5
39,August 2022,5
40,August 2022,5
41,August 2022,1
42,August 2022,3
43,August 2022,2
44,August 2022,3
45,August 2022,4
46,August 2022,2
47,August 2022,3
48,August 2022,1
49,August 2022,3
50,August 2022,2
51,August 2022,3
52,July 2022,5
53,July 2022,1
54,July 2022,1
55,July 2022,4
56,July 2022,5
57,July 2022,4
58,July 2022,3
59,July 2022,5
60,June 2022,4
61,July 2022,5
62,July 2022,5
63,July 2022,5
64,July 2022,5
65,July 2022,5
66,July 2022,5
67,July 2022,5
68,July 2022,2
69,July 2022,5
70,July 2022,3
71,July 2022,2
72,July 2022,5
73,July 2022,4
74,July 2022,4
75,July 2022,5
76,July 2022,2
77,June 2022,3
78,June 2022,5
79,June 2022,5
80,June 2022,5
81,June 2022,4
82,June 2022,5
83,June 2022,4
84,June 2022,5
85,June 2022,2
86,June 2022,5
87,June 2022,1
88,June 2022,3
89,June 2022,2
90,June 2022,5
91,June 2022,1
92,June 2022,5
93,June 2022,1
94,May 2022,1
95,December 2021,2
96,June 2022,3
97,June 2022,5
98,June 2022,2
99,May 2022,3
100,June 2022,3
101,May 2022,4
102,May 2022,4
103,June 2022,5
104,May 2022,5
105,June 2022,4
106,June 2022,1
107,May 2022,5
108,June 2022,5
109,May 2022,4
110,May 2022,5
111,May 2022,5
112,May 2022,5
113,May 2022,3
114,May 2022,5
115,May 2022,1
116,May 2022,4
117,May 2022,5
118,May 2022,5
119,May 2022,3
120,May 2022,5
121,May 2022,4
122,May 2022,5
123,May 2022,5
124,May 2022,5
125,May 2022,5
126,May 2022,1
127,May 2022,1
128,May 2022,2
129,May 2022,5
130,May 2022,1
131,May 2022,5
132,May 2022,4
133,May 2022,5
134,May 2022,2
135,May 2022,5
136,May 2022,4
137,May 2022,5
138,May 2022,5
139,May 2022,5
140,April 2022,2
141,May 2022,3
142,May 2022,5
143,May 2022,3
144,May 2022,5
145,May 2022,3
146,May 2022,2
147,May 2022,4
148,May 2022,3
149,April 2022,1
150,May 2022,5
151,May 2022,5
152,May 2022,5
153,May 2022,5
154,May 2022,2
155,May 2022,1
156,April 2022,5
157,May 2022,5
158,May 2022,5
159,May 2022,3
160,May 2022,5
161,May 2022,3
162,May 2022,5
163,May 2022,5
164,May 2022,3
165,May 2022,5
166,May 2022,4
167,May 2022,5
168,May 2022,1
169,May 2022,4
170,May 2022,5
171,May 2022,5
172,May 2022,2
173,May 2022,5
174,April 2022,5
175,May 2022,5
176,February 2022,4
177,May 2022,5
178,April 2022,5
179,May 2022,5
180,May 2022,5
181,May 2022,1
182,March 2022,5
183,April 2022,3
184,January 2022,5
185,April 2022,5
186,April 2022,5
187,May 2022,5
188,April 2022,4
189,March 2022,5
190,April 2022,5
191,April 2022,5
192,April 2022,4
193,April 2022,5
194,April 2022,1
195,April 2022,5
196,April 2022,5
197,April 2022,5
198,April 2022,5
199,April 2022,5
200,April 2022,5
201,March 2022,5
202,April 2022,3
203,April 2022,5
204,April 2022,5
205,April 2022,2
206,April 2022,5
207,April 2022,3
208,April 2022,5
209,April 2022,5
210,April 2022,5
211,April 2022,2
212,April 2022,3
213,April 2022,5
214,April 2022,5
215,April 2022,3
216,April 2022,5
217,April 2022,3
218,April 2022,3
219,April 2022,1
220,April 2022,5
221,April 2022,4
222,April 2022,5
223,April 2022,4
224,April 2022,2
225,April 2022,1
226,April 2022,5
227,April 2022,5
228,April 2022,2
229,April 2022,2
230,April 2022,5
231,April 2022,1
232,April 2022,4
233,April 2022,5
234,April 2022,5
235,April 2022,3
236,April 2022,4
237,April 2022,5
238,April 2022,2
239,April 2022,5
240,April 2022,1
241,April 2022,5
242,April 2022,5
243,April 2022,4
244,March 2022,2
245,April 2022,5
246,April 2022,4
247,April 2022,5
248,April 2022,3
249,April 2022,4
250,April 2022,1
251,April 2022,5
252,April 2022,5
253,April 2022,5
254,April 2022,5
255,March 2022,4
256,March 2022,3
257,March 2022,3
258,March 2022,5
259,March 2022,5
260,March 2022,1
261,March 2022,4
262,March 2022,5
263,March 2022,4
264,March 2022,5
265,March 2022,5
266,March 2022,1
267,March 2022,3
268,March 2022,4
269,March 2022,5
270,March 2022,5
271,March 2022,5
272,March 2022,3
273,March 2022,4
274,March 2022,2
275,March 2022,5
276,March 2022,5
277,March 2022,1
278,March 2022,5
279,March 2022,3
280,March 2022,3
281,March 2022,5
282,March 2022,4
283,March 2022,5
284,March 2022,5
285,March 2022,1
286,March 2022,5
287,March 2022,2
288,March 2022,2
289,March 2022,1
290,March 2022,2
291,March 2022,5
292,March 2022,5
293,March 2022,5
294,March 2022,3
295,March 2022,5
296,March 2022,4
297,March 2022,3
298,March 2022,5
299,March 2022,1
300,March 2022,2
301,March 2022,1
302,March 2022,4
303,February 2022,4
304,March 2022,3
305,March 2022,5
306,February 2022,5
307,March 2022,5
308,February 2022,4
309,February 2022,1
310,February 2022,5
311,February 2022,2
312,February 2022,3
313,February 2022,4
314,February 2022,3
315,February 2022,5
316,February 2022,4
317,February 2022,5
318,February 2022,5
319,February 2022,5
320,February 2022,2
321,February 2022,5
322,February 2022,5
323,February 2022,2
324,February 2022,5
325,February 2022,5
326,February 2022,4
327,February 2022,5
328,February 2022,2
329,February 2022,4
330,February 2022,5
331,February 2022,5
332,February 2022,5
333,February 2022,3
334,February 2022,1
335,February 2022,5
336,February 2022,1
337,February 2022,3
338,February 2022,5
339,February 2022,2
340,February 2022,5
341,February 2022,5
342,February 2022,2
343,February 2022,4
344,February 2022,5
345,February 2022,3
346,February 2022,5
347,February 2022,5
348,January 2022,3
349,March 2021,4
350,February 2022,5
351,February 2022,4
352,February 2022,4
353,February 2022,5
354,February 2022,4
355,February 2022,4
356,February 2022,1
357,January 2022,5
358,February 2022,5
359,January 2022,4
360,February 2022,4
361,January 2022,5
362,January 2022,5
363,January 2022,3
364,January 2022,5
365,January 2022,4
366,January 2022,5
367,January 2022,5
368,December 2021,4
369,January 2022,4
370,January 2022,2
371,January 2022,4
372,January 2022,3
373,January 2022,4
374,January 2022,4
375,January 2022,4
376,January 2022,3
377,January 2022,5
378,January 2022,5
379,December 2021,3
380,January 2022,5
381,January 2022,4
382,January 2022,4
383,January 2022,5
384,January 2022,2
385,January 2022,4
386,January 2022,5
387,January 2022,2
388,January 2022,3
389,January 2022,3
390,January 2022,1
391,January 2022,1
392,January 2022,1
393,January 2022,1
394,January 2022,5
395,January 2022,5
396,December 2021,3
397,January 2022,1
398,December 2021,4
399,January 2022,5
400,December 2021,1
401,January 2022,2
402,December 2021,3
403,December 2021,5
404,December 2021,5
405,December 2021,4
406,December 2021,1
407,January 2022,5
408,December 2021,3
409,December 2021,5
410,December 2021,5
411,December 2021,4
412,January 2022,1
413,December 2021,1
414,December 2021,3
415,January 2022,1
416,December 2021,4
417,December 2021,5
418,December 2021,3
419,December 2021,5
420,December 2021,5
421,December 2021,5
422,December 2021,3
423,December 2021,3
424,December 2021,5
425,December 2021,5
426,December 2021,3
427,December 2021,5
428,December 2021,2
429,December 2021,5
430,December 2021,5
431,December 2021,4
432,December 2021,5
433,December 2021,5
434,December 2021,3
435,December 2021,4
436,December 2021,1
437,December 2021,2
438,December 2021,1
439,December 2021,4
440,December 2021,1
441,December 2021,2
442,December 2021,2
443,December 2021,3
444,December 2021,4
445,November 2021,1
446,December 2021,5
447,December 2021,1
448,December 2021,3
449,November 2021,3
450,December 2021,5
451,November 2021,5
452,December 2021,5
453,November 2021,5
454,December 2021,5
455,December 2021,1
456,November 2021,5
457,November 2021,4
458,November 2021,1
459,November 2021,5
460,November 2021,1
461,November 2021,5
462,August 2021,3
463,November 2021,3
464,November 2021,5
465,November 2021,5
466,November 2021,5
467,November 2021,5
468,November 2021,4
469,November 2021,5
470,November 2021,5
471,November 2021,5
472,November 2021,3
473,November 2021,5
474,November 2021,3
475,November 2021,5
