,Data,Avaliação
0,September 2022,5
1,July 2022,5
2,July 2022,5
3,July 2022,4
4,July 2022,5
5,July 2022,4
6,July 2022,1
7,July 2022,5
8,July 2022,2
9,July 2022,2
10,July 2022,5
11,July 2022,5
12,July 2022,5
13,July 2022,1
14,July 2022,1
15,July 2022,2
16,July 2022,4
17,July 2022,5
18,July 2022,4
19,July 2022,4
20,July 2022,5
21,July 2022,5
22,July 2022,2
23,June 2022,5
24,June 2022,3
25,June 2022,3
26,June 2022,5
27,June 2022,5
28,June 2022,4
29,June 2022,4
30,June 2022,5
31,June 2022,3
32,June 2022,5
33,June 2022,5
34,June 2022,5
35,June 2022,5
36,June 2022,5
37,June 2022,5
38,June 2022,4
39,June 2022,5
40,June 2022,5
41,June 2022,5
42,June 2022,5
43,June 2022,4
44,June 2022,4
45,June 2022,3
46,June 2022,5
47,June 2022,2
48,June 2022,5
49,June 2022,5
50,June 2022,3
51,June 2022,1
52,June 2022,4
53,June 2022,5
54,June 2022,3
55,June 2022,5
56,June 2022,5
57,May 2022,3
58,May 2022,5
59,June 2022,3
60,May 2022,5
61,May 2022,5
62,May 2022,5
63,May 2022,4
64,May 2022,5
65,May 2022,5
66,May 2022,1
67,May 2022,4
68,May 2022,2
69,May 2022,1
70,May 2022,5
71,May 2022,3
72,May 2022,5
73,April 2022,2
74,May 2022,5
75,May 2022,5
76,May 2022,4
77,May 2022,5
78,May 2022,2
79,April 2022,5
80,April 2022,5
81,April 2022,3
82,April 2022,5
83,February 2022,1
84,April 2022,4
85,April 2022,2
86,April 2022,4
87,April 2022,4
88,April 2022,1
89,April 2022,5
90,April 2022,5
91,March 2022,4
92,April 2022,5
93,April 2022,2
94,April 2022,5
95,April 2022,1
96,March 2022,1
97,March 2022,5
98,March 2022,5
99,April 2022,1
100,April 2022,5
101,March 2022,5
102,March 2022,5
103,March 2022,5
104,March 2022,5
105,March 2022,4
106,March 2022,4
107,March 2022,2
108,March 2022,2
109,March 2022,5
110,March 2022,2
111,March 2022,5
112,March 2022,5
113,March 2022,5
114,March 2022,3
115,March 2022,4
116,March 2022,4
117,March 2022,5
118,March 2022,2
119,March 2022,2
120,March 2022,5
121,March 2022,4
122,March 2022,5
123,March 2022,2
124,February 2022,5
125,March 2022,4
126,March 2022,3
127,March 2022,4
128,March 2022,5
129,March 2022,3
130,March 2022,5
131,February 2022,5
132,March 2022,1
133,February 2022,3
134,February 2022,4
135,February 2022,5
136,February 2022,5
137,February 2022,5
138,February 2022,2
139,February 2022,4
140,February 2022,5
141,February 2022,4
142,February 2022,3
143,February 2022,1
144,February 2022,1
145,February 2022,1
146,February 2022,5
147,February 2022,5
148,February 2022,4
149,February 2022,5
150,January 2022,5
151,February 2022,4
152,February 2022,4
153,February 2022,3
154,February 2022,5
155,January 2022,5
156,January 2022,5
157,January 2022,4
158,January 2022,4
159,January 2022,5
160,January 2022,5
161,January 2022,5
162,January 2022,5
163,January 2022,5
164,January 2022,1
165,January 2022,5
166,January 2022,3
167,January 2022,5
168,January 2022,4
169,January 2022,5
170,January 2022,5
171,January 2022,2
172,January 2022,5
173,January 2022,1
174,January 2022,4
175,December 2021,5
176,December 2021,5
177,December 2021,5
178,December 2021,5
179,December 2021,5
180,December 2021,5
181,December 2021,5
182,December 2021,4
183,December 2021,5
184,December 2021,5
185,December 2021,3
186,December 2021,4
187,December 2021,5
188,December 2021,5
189,December 2021,5
190,December 2021,5
191,December 2021,4
192,December 2021,2
193,December 2021,3
194,December 2021,5
195,December 2021,4
196,December 2021,5
197,December 2021,4
198,December 2021,3
199,November 2021,5
200,November 2021,5
201,November 2021,5
202,November 2021,5
203,November 2021,5
204,November 2021,4
205,November 2021,5
206,November 2021,5
207,November 2021,4
208,November 2021,3
