,Data,Avaliação
0,September 2022,3
1,September 2022,4
2,September 2022,1
3,September 2022,5
4,September 2022,5
5,September 2022,5
6,September 2022,4
7,August 2022,5
8,July 2022,5
9,August 2022,5
10,August 2022,1
11,August 2022,4
12,August 2022,5
13,August 2022,5
14,August 2022,1
15,August 2022,5
16,August 2022,5
17,July 2022,5
18,July 2022,4
19,July 2022,3
20,July 2022,1
21,April 2022,4
22,July 2022,4
23,July 2022,3
24,July 2022,3
25,June 2022,5
26,June 2022,5
27,June 2022,5
28,June 2022,1
29,June 2022,5
30,June 2022,5
31,May 2022,2
32,June 2022,4
33,June 2022,5
34,June 2022,4
35,June 2022,5
36,June 2022,5
37,June 2022,3
38,June 2022,1
39,June 2022,5
40,May 2022,5
41,May 2022,4
42,May 2022,5
43,May 2022,1
44,May 2022,4
45,May 2022,5
46,May 2022,4
47,May 2022,4
48,May 2022,5
49,May 2022,5
50,April 2022,4
51,April 2022,3
52,April 2022,5
53,April 2022,5
54,April 2022,4
55,April 2022,4
56,April 2022,5
57,April 2022,2
58,March 2022,2
59,March 2022,2
60,March 2022,5
61,March 2022,4
62,March 2022,1
63,March 2022,5
64,March 2022,1
65,March 2022,5
66,March 2022,1
67,March 2022,4
68,March 2022,2
69,March 2022,5
70,March 2022,5
71,February 2022,3
72,February 2022,1
73,February 2022,3
74,February 2022,5
75,February 2022,5
76,February 2022,3
77,February 2022,5
78,February 2022,5
79,February 2022,5
80,February 2022,3
81,February 2022,3
82,January 2022,4
83,December 2021,4
84,February 2021,5
85,December 2021,1
86,November 2021,4
87,November 2021,5
88,November 2021,1
89,November 2021,4
90,November 2021,4
91,November 2021,4
92,November 2021,4
93,November 2021,4
94,October 2021,5
95,October 2021,1
96,October 2021,5
97,October 2021,5
98,October 2021,1
99,October 2021,5
100,October 2021,4
101,October 2021,5
102,September 2021,5
103,September 2021,4
104,July 2021,4
105,July 2021,5
106,July 2021,1
107,June 2021,1
108,June 2021,2
109,June 2021,5
110,June 2021,5
111,May 2021,2
112,June 2021,4
113,May 2021,4
114,May 2021,1
115,May 2021,1
116,October 2020,1
117,April 2021,3
118,April 2021,5
119,March 2021,5
120,March 2021,2
121,March 2021,4
122,February 2021,5
123,January 2021,5
124,December 2020,5
125,November 2020,5
126,November 2020,4
127,October 2020,4
128,October 2020,1
129,October 2020,3
130,September 2020,5
131,September 2020,1
132,September 2020,3
133,August 2020,5
134,August 2020,2
135,July 2020,4
136,July 2020,4
137,June 2020,5
138,June 2020,4
139,December 2019,5
140,November 2019,5
141,January 2020,5
142,March 2020,5
143,March 2020,4
144,March 2020,4
145,March 2020,4
146,April 2019,5
147,February 2020,5
148,February 2020,5
149,February 2020,1
150,February 2020,4
151,May 2019,5
152,February 2020,3
153,February 2020,5
154,February 2020,5
155,February 2020,5
156,October 2019,5
157,February 2020,4
158,September 2019,5
159,February 2020,1
160,September 2019,4
161,February 2020,5
162,February 2020,4
163,June 2019,5
164,February 2020,2
165,January 2020,5
166,November 2019,1
167,January 2020,5
168,January 2020,5
169,January 2020,5
170,August 2019,5
171,January 2020,5
172,January 2020,4
173,January 2020,5
174,January 2020,4
175,January 2020,5
176,December 2019,5
177,October 2019,3
178,December 2019,4
179,December 2019,5
180,December 2019,5
181,December 2019,2
182,December 2019,4
183,November 2019,5
184,November 2019,1
185,November 2019,4
186,October 2019,5
187,November 2019,4
188,December 2019,5
189,December 2019,4
190,September 2019,5
191,November 2019,3
192,June 2019,5
193,November 2019,5
194,November 2019,5
195,November 2019,3
196,November 2019,5
197,November 2019,3
198,November 2019,4
199,October 2019,4
200,October 2019,5
201,August 2019,5
202,October 2019,5
203,October 2019,4
204,October 2019,5
205,October 2019,3
206,October 2019,2
207,August 2018,5
208,October 2019,4
209,October 2019,4
210,October 2019,5
211,October 2019,3
212,October 2019,5
213,October 2019,5
214,October 2019,3
215,October 2019,4
216,October 2019,3
217,October 2019,5
218,October 2019,5
219,October 2019,4
220,October 2019,5
221,September 2019,4
222,September 2019,5
223,October 2019,5
224,October 2019,3
225,October 2019,5
226,September 2019,3
227,October 2019,5
228,September 2019,4
229,September 2019,5
230,September 2019,4
231,September 2019,5
232,September 2019,5
233,September 2019,3
234,September 2019,4
235,September 2019,5
236,September 2019,5
237,September 2019,4
238,September 2019,5
239,September 2019,1
240,September 2019,5
241,December 2018,4
242,September 2019,5
243,August 2019,2
244,September 2019,5
245,August 2019,4
246,August 2019,3
247,August 2019,5
248,August 2019,5
249,August 2019,5
250,August 2019,5
251,August 2019,5
252,November 2018,4
253,August 2019,4
254,July 2019,4
255,April 2019,3
256,July 2019,1
257,July 2019,2
258,July 2019,5
259,July 2019,5
260,July 2019,5
261,May 2019,4
262,July 2019,4
263,July 2019,4
264,July 2019,5
265,July 2019,5
266,July 2019,4
267,July 2019,4
268,July 2019,5
269,June 2019,1
270,June 2019,4
271,June 2019,4
272,July 2019,5
273,July 2019,5
274,June 2019,5
275,July 2019,4
276,June 2019,5
277,June 2019,4
278,June 2019,4
279,June 2019,4
280,July 2018,5
281,June 2019,4
282,June 2019,5
283,June 2019,5
284,June 2019,3
285,June 2019,4
286,June 2019,4
287,June 2019,5
288,June 2019,5
289,June 2019,4
290,June 2019,4
291,June 2019,4
292,June 2019,4
293,June 2019,4
294,June 2019,1
295,January 2019,4
296,May 2019,4
297,June 2019,5
298,May 2019,5
299,May 2019,5
300,June 2019,5
301,May 2019,5
302,May 2019,5
303,May 2019,5
304,May 2019,5
305,May 2019,5
306,May 2019,5
307,May 2019,2
308,May 2019,5
309,May 2019,5
310,May 2019,3
311,May 2019,5
312,May 2019,5
313,May 2019,5
314,March 2019,4
315,May 2019,4
316,April 2019,5
317,May 2019,5
318,May 2019,1
319,May 2019,5
320,May 2019,4
321,January 2019,5
322,May 2019,4
323,August 2018,4
324,October 2018,5
325,May 2019,4
326,April 2019,4
327,April 2019,5
328,May 2019,5
329,April 2019,4
330,May 2019,5
331,April 2019,5
332,April 2019,5
333,May 2019,3
334,May 2019,4
335,April 2019,4
336,April 2019,4
337,April 2019,5
338,April 2019,5
339,April 2019,5
340,April 2019,5
341,April 2019,4
342,April 2019,1
343,April 2019,4
344,April 2019,5
345,April 2019,5
346,April 2019,4
347,March 2019,5
348,April 2019,5
349,March 2019,4
350,April 2019,3
351,April 2019,4
352,April 2019,4
353,March 2019,1
354,April 2019,5
355,April 2019,5
356,March 2019,5
357,April 2019,5
358,March 2019,3
359,July 2018,4
360,March 2019,5
361,March 2019,5
362,March 2019,5
363,March 2019,4
364,March 2019,5
365,March 2019,3
366,March 2019,5
367,March 2019,4
368,March 2019,5
369,March 2019,4
370,March 2019,4
371,March 2019,4
372,March 2019,5
373,November 2018,3
374,February 2019,4
375,March 2019,4
376,March 2019,3
377,March 2019,5
378,February 2019,5
379,March 2019,5
380,February 2019,4
381,March 2019,5
382,February 2019,5
383,February 2019,4
384,November 2018,4
385,February 2019,4
386,January 2019,5
387,February 2019,5
388,February 2019,4
389,February 2019,4
390,February 2019,4
391,February 2019,5
392,February 2019,5
393,May 2018,4
394,February 2019,5
395,February 2019,5
396,February 2019,5
397,December 2018,1
398,February 2019,5
399,January 2019,5
400,December 2018,1
401,January 2019,5
402,February 2019,4
403,January 2019,2
404,January 2019,4
405,February 2019,5
406,November 2018,5
407,February 2019,4
408,February 2019,5
409,September 2018,4
410,January 2019,5
411,January 2019,4
412,January 2019,4
413,January 2019,4
414,January 2019,1
415,January 2019,1
416,January 2019,5
417,January 2019,4
418,January 2019,5
419,January 2019,4
420,November 2018,4
421,January 2019,3
422,September 2018,5
423,December 2018,3
424,November 2018,5
425,January 2019,4
426,January 2019,4
427,January 2019,5
428,January 2019,4
429,December 2018,4
430,July 2018,4
431,December 2018,3
432,December 2018,3
433,December 2018,1
434,December 2018,4
435,December 2018,5
436,December 2018,5
437,December 2018,5
438,October 2018,5
439,December 2018,4
440,December 2018,5
441,December 2018,5
442,October 2018,4
443,October 2018,2
444,September 2018,5
445,April 2018,4
446,December 2018,5
447,October 2018,3
448,December 2018,4
449,August 2018,5
450,December 2018,5
451,December 2018,5
452,November 2018,5
453,November 2018,5
454,November 2018,5
455,November 2018,5
456,November 2018,4
457,November 2018,5
458,November 2018,5
459,November 2018,5
460,November 2018,5
461,November 2018,4
462,November 2018,5
463,November 2018,5
464,November 2018,4
465,November 2018,3
466,November 2018,1
467,November 2018,4
468,December 2017,5
469,November 2018,3
470,November 2018,5
471,October 2018,3
472,November 2018,5
473,November 2018,4
474,November 2018,5
475,September 2018,5
476,October 2018,3
477,October 2018,3
478,November 2018,5
479,October 2018,4
480,October 2018,5
481,October 2018,5
482,October 2018,5
483,October 2018,5
484,October 2018,4
485,September 2018,5
486,October 2018,3
487,October 2018,4
488,October 2018,5
489,October 2018,4
490,October 2018,4
491,January 2018,4
492,October 2018,3
493,October 2018,5
494,October 2018,4
495,October 2018,3
496,October 2018,5
497,October 2018,4
498,October 2018,1
499,October 2018,4
500,October 2018,5
501,September 2018,5
502,October 2018,5
503,October 2018,4
504,October 2018,5
505,September 2018,4
506,October 2018,5
507,September 2018,5
508,October 2018,4
509,October 2018,4
510,October 2018,5
511,October 2018,5
512,October 2018,3
513,October 2018,5
514,October 2018,5
515,October 2018,5
516,October 2018,5
517,January 2018,4
518,September 2018,5
519,October 2018,4
520,October 2018,5
521,October 2018,5
522,October 2018,5
523,November 2017,4
524,September 2018,4
525,September 2018,4
526,September 2018,5
527,September 2018,5
528,September 2018,4
529,September 2018,5
