,Data,Avaliação
0,September 2022,3
1,September 2022,1
2,September 2022,5
3,September 2022,5
4,August 2022,5
5,August 2022,5
6,August 2022,4
7,August 2022,5
8,July 2022,5
9,August 2022,5
10,August 2022,5
11,August 2022,1
12,August 2022,5
13,August 2022,5
14,August 2022,4
15,August 2022,1
16,July 2022,5
17,July 2022,5
18,July 2022,5
19,July 2022,4
20,July 2022,4
21,July 2022,3
22,July 2022,5
23,July 2022,3
24,June 2022,4
25,July 2022,1
26,July 2022,3
27,June 2022,3
28,June 2022,1
29,June 2022,5
30,June 2022,5
31,June 2022,1
32,June 2022,3
33,June 2022,4
34,May 2022,3
35,June 2022,1
36,June 2022,4
37,June 2022,5
38,May 2022,5
39,May 2022,5
40,May 2022,4
41,April 2022,2
42,April 2022,5
43,March 2022,2
44,April 2022,1
45,April 2022,5
46,April 2022,3
47,March 2022,4
48,April 2022,4
49,March 2022,5
50,March 2022,4
51,March 2022,5
52,March 2022,2
53,March 2022,1
54,March 2022,2
55,March 2022,5
56,February 2022,3
57,February 2022,4
58,February 2022,4
59,February 2022,3
60,January 2022,5
61,January 2022,5
62,December 2021,5
63,December 2021,1
64,December 2021,2
65,December 2021,5
66,November 2021,4
67,October 2021,4
68,October 2021,1
69,October 2021,5
70,September 2021,1
71,September 2021,5
72,July 2021,5
73,August 2021,1
74,August 2021,5
75,October 2020,1
76,August 2021,3
77,August 2021,5
78,August 2021,3
79,August 2021,2
80,July 2021,3
81,July 2021,4
82,August 2021,1
83,July 2021,5
84,July 2021,1
85,July 2021,1
86,July 2021,1
87,June 2021,4
88,July 2020,5
89,May 2021,1
90,May 2021,3
91,May 2021,4
92,April 2021,1
93,April 2021,5
94,March 2021,3
95,March 2021,4
96,February 2021,1
97,January 2021,1
98,February 2020,3
99,January 2021,1
100,January 2021,5
101,November 2020,1
102,October 2020,3
103,September 2020,3
104,September 2020,5
105,September 2020,3
106,September 2020,4
107,August 2020,5
108,September 2019,4
109,September 2019,4
110,August 2020,2
111,March 2020,5
112,July 2020,5
113,July 2020,1
114,July 2020,1
115,February 2020,5
116,June 2020,2
117,June 2020,2
118,June 2020,5
119,May 2020,5
120,May 2020,5
121,June 2019,5
122,May 2020,5
123,March 2020,5
124,December 2019,5
125,March 2020,3
126,November 2019,4
127,March 2020,4
128,February 2020,5
129,November 2019,3
130,March 2020,4
131,March 2020,5
132,March 2020,5
133,April 2019,4
134,March 2020,5
135,February 2020,5
136,November 2019,4
137,February 2020,2
138,January 2020,5
139,January 2020,4
140,February 2020,3
141,February 2020,5
142,January 2020,4
143,February 2020,4
144,February 2020,5
145,February 2020,5
146,February 2020,5
147,September 2019,4
148,February 2020,4
149,February 2020,5
150,February 2020,5
151,August 2019,5
152,February 2020,4
153,January 2020,5
154,July 2019,5
155,February 2020,5
156,January 2020,4
157,February 2020,3
158,January 2020,5
159,January 2020,1
160,November 2019,4
161,January 2020,3
162,October 2019,4
163,January 2020,5
164,October 2019,4
165,January 2020,4
166,December 2019,3
167,February 2019,5
168,November 2019,5
169,December 2019,5
170,March 2019,4
171,November 2019,5
172,November 2019,5
173,January 2020,4
174,January 2020,5
175,December 2019,5
176,December 2019,5
177,December 2019,5
178,May 2019,5
179,November 2019,4
180,December 2019,2
181,December 2019,1
182,December 2019,5
183,December 2019,5
184,December 2019,4
185,December 2019,4
186,November 2019,5
187,November 2019,4
188,December 2019,5
189,December 2019,5
190,December 2019,4
191,December 2019,4
192,November 2019,5
193,September 2019,4
194,December 2019,3
195,December 2019,1
196,November 2019,5
197,November 2019,5
198,November 2019,1
199,November 2019,5
200,November 2019,5
201,November 2019,4
202,November 2019,1
203,November 2019,5
204,November 2019,4
205,July 2019,4
206,October 2019,2
207,November 2019,4
208,November 2019,5
209,November 2019,4
210,October 2019,5
211,October 2019,4
212,November 2019,1
213,October 2019,2
214,November 2019,4
215,November 2019,4
216,February 2019,1
217,November 2019,5
218,November 2019,5
219,October 2019,5
220,November 2019,5
221,October 2019,5
222,October 2019,5
223,November 2019,5
224,October 2019,1
225,August 2019,5
226,November 2019,3
227,November 2019,5
228,October 2019,4
229,October 2019,5
230,November 2019,1
231,July 2019,5
232,October 2019,5
233,November 2019,1
234,October 2019,4
235,August 2019,5
236,October 2019,5
237,October 2019,5
238,October 2019,5
239,October 2019,5
240,September 2019,4
241,November 2019,3
242,August 2019,4
243,October 2019,4
244,October 2019,5
245,October 2019,5
246,October 2019,5
247,September 2019,2
248,October 2019,4
249,September 2019,5
250,October 2019,4
251,October 2019,5
252,October 2019,5
253,October 2019,5
254,October 2019,3
255,October 2019,5
256,October 2019,5
257,October 2019,1
258,October 2019,1
259,October 2019,3
260,October 2019,5
261,October 2019,5
262,October 2019,5
263,October 2019,3
264,October 2019,5
