,Data,Avaliação
0,September 2022,1
1,September 2022,2
2,September 2022,5
3,August 2022,2
4,September 2022,5
5,September 2022,5
6,September 2022,3
7,September 2022,2
8,September 2022,1
9,September 2022,4
10,September 2022,5
11,August 2022,5
12,September 2022,1
13,September 2022,3
14,August 2022,5
15,September 2022,5
16,August 2022,5
17,September 2022,5
18,August 2022,5
19,August 2022,2
20,August 2022,5
21,August 2022,5
22,August 2022,1
23,August 2022,2
24,August 2022,4
25,July 2022,3
26,September 2021,5
27,August 2022,5
28,August 2022,5
29,July 2022,5
30,August 2022,4
31,August 2022,1
32,August 2022,5
33,August 2022,5
34,August 2022,5
35,July 2022,3
36,August 2022,3
37,August 2022,4
38,August 2022,5
39,August 2022,5
40,July 2022,5
41,August 2022,3
42,August 2022,5
43,August 2022,4
44,July 2022,1
45,July 2022,5
46,July 2022,2
47,August 2022,1
48,June 2022,5
49,July 2022,4
50,July 2022,5
51,July 2022,1
52,January 2022,5
53,July 2022,5
54,July 2022,5
55,July 2022,1
56,July 2022,5
57,July 2022,1
58,July 2022,5
59,December 2021,5
60,July 2022,5
61,July 2022,4
62,July 2022,3
63,July 2022,1
64,July 2022,5
65,June 2022,5
66,June 2022,5
67,June 2022,5
68,June 2022,5
69,June 2022,1
70,March 2022,2
71,June 2022,5
72,June 2022,2
73,May 2022,2
74,June 2022,5
75,January 2022,5
76,June 2022,1
77,June 2022,4
78,June 2022,1
79,June 2022,5
80,July 2021,5
81,May 2022,5
82,June 2022,1
83,May 2022,4
84,June 2022,5
85,May 2022,5
86,May 2022,5
87,May 2022,4
88,May 2022,2
89,April 2022,5
90,October 2021,5
91,May 2022,1
92,May 2022,5
93,May 2022,5
94,May 2022,3
95,April 2022,5
96,February 2022,5
97,May 2022,3
98,April 2022,4
99,May 2022,5
100,May 2022,5
101,October 2021,5
102,April 2022,2
103,April 2022,1
104,April 2022,4
105,April 2022,5
106,April 2022,4
107,April 2022,5
108,November 2021,5
109,April 2022,1
110,April 2022,5
111,April 2022,1
112,April 2022,5
113,May 2021,5
114,April 2022,5
115,April 2022,4
116,March 2022,5
117,March 2022,1
118,March 2022,1
119,November 2021,5
120,March 2022,1
121,March 2022,4
122,February 2022,4
123,March 2022,5
124,February 2022,5
125,February 2022,4
126,February 2022,1
127,January 2022,1
128,February 2022,5
129,February 2022,5
130,February 2022,3
131,February 2022,1
132,February 2022,5
133,February 2022,5
134,January 2022,3
135,January 2022,1
136,December 2021,5
137,January 2022,5
138,January 2022,5
139,January 2022,5
140,January 2022,1
141,January 2022,5
142,January 2022,4
143,January 2022,5
144,January 2022,5
145,December 2021,1
146,January 2022,5
147,December 2021,1
148,December 2021,5
149,December 2021,5
150,December 2021,5
151,December 2021,5
152,December 2021,5
153,December 2021,5
154,November 2021,4
155,November 2021,4
156,November 2021,5
157,September 2021,2
158,November 2021,4
159,November 2021,2
160,November 2021,1
161,November 2021,4
162,November 2021,5
163,October 2021,4
164,July 2021,5
165,November 2021,5
166,October 2021,3
167,September 2021,5
168,November 2021,2
169,October 2021,4
170,July 2021,4
171,October 2021,1
172,October 2021,1
173,October 2021,2
174,October 2021,5
175,October 2021,2
176,October 2021,5
177,August 2021,4
178,October 2021,2
179,October 2021,5
180,October 2021,3
181,October 2021,3
182,September 2021,4
183,September 2021,3
184,October 2021,1
185,September 2021,4
186,September 2021,3
187,September 2021,1
188,July 2021,1
189,September 2021,4
190,July 2021,5
191,September 2021,1
192,October 2020,2
193,August 2021,5
194,September 2021,5
195,September 2021,5
196,August 2021,4
197,August 2021,4
198,August 2021,5
199,January 2021,5
200,August 2021,5
201,August 2021,1
202,August 2021,2
203,August 2021,5
204,August 2021,1
205,July 2021,4
206,August 2021,2
207,August 2021,4
208,July 2021,5
209,July 2021,2
210,August 2021,2
211,July 2021,4
212,June 2021,5
213,July 2021,1
214,July 2021,3
215,July 2021,4
216,June 2021,5
217,April 2021,5
218,July 2021,5
219,July 2021,1
220,July 2021,3
221,July 2021,1
222,June 2021,5
223,July 2021,3
224,July 2021,2
225,June 2021,4
226,August 2020,5
227,June 2021,1
228,June 2021,5
229,May 2021,1
230,June 2021,5
231,June 2021,1
232,June 2021,3
233,June 2021,2
234,June 2021,5
235,June 2021,5
236,June 2021,5
237,June 2021,5
238,June 2021,5
239,June 2021,2
240,April 2021,1
241,May 2021,5
242,May 2021,4
243,May 2021,4
244,May 2021,5
245,May 2021,2
246,November 2020,5
247,May 2021,1
248,May 2021,4
249,May 2021,3
250,May 2021,5
251,May 2021,5
252,May 2021,5
253,February 2021,5
254,May 2021,5
255,May 2021,5
256,May 2021,5
257,May 2021,5
258,May 2021,2
259,November 2020,5
260,May 2021,5
261,June 2020,5
262,April 2021,1
263,April 2021,5
264,April 2021,5
265,April 2021,5
266,October 2020,5
267,April 2021,5
268,April 2021,2
269,April 2021,3
270,March 2021,5
271,April 2021,1
272,April 2021,1
273,April 2021,1
274,April 2021,4
275,April 2021,3
276,April 2021,1
277,April 2021,3
278,April 2021,3
279,March 2021,5
280,March 2021,1
281,October 2020,4
282,March 2021,5
283,March 2021,4
284,March 2021,5
285,March 2021,5
286,March 2021,1
287,February 2021,5
288,March 2021,5
